                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                   1.51,                0.75136,                 1.0609,                0.93035,                0.90307,                0.94133,                0.50894,                 1.5564,                0.70514,                 1.1061,               0.003669,               0.003669,               0.003669
                     62,                  1.501,                0.74158,                 1.0629,                 0.9288,                0.90791,                0.93921,                0.51375,                 1.5594,                0.69399,                 1.1106,              0.0035204,              0.0035204,              0.0035204
                     63,                 1.4993,                0.74275,                 1.0613,                0.92789,                 0.9147,                0.94299,                0.51859,                 1.5434,                0.69609,                 1.1002,              0.0033732,              0.0033732,              0.0033732
                     64,                 1.4979,                0.73117,                 1.0583,                0.92794,                 0.9125,                0.94017,                0.51812,                 1.5408,                0.68784,                  1.102,              0.0032278,              0.0032278,              0.0032278
                     65,                 1.5005,                0.74558,                 1.0589,                0.92672,                 0.9099,                 0.9423,                0.51017,                 1.5508,                0.70011,                 1.1031,              0.0030841,              0.0030841,              0.0030841
                     66,                   1.49,                0.73744,                 1.0564,                0.92612,                0.91744,                0.94033,                0.51345,                 1.5465,                0.69277,                 1.1009,              0.0029424,              0.0029424,              0.0029424
                     67,                 1.4864,                0.72718,                 1.0504,                0.93607,                0.91155,                0.94379,                0.52398,                 1.5259,                0.68369,                 1.0955,              0.0028027,              0.0028027,              0.0028027
                     68,                 1.4821,                0.72946,                 1.0535,                0.93044,                0.91869,                0.94348,                0.51487,                 1.5436,                 0.6859,                 1.1007,              0.0026653,              0.0026653,              0.0026653
                     69,                 1.4812,                0.72452,                 1.0555,                0.93772,                0.92476,                0.94551,                0.52163,                 1.5326,                 0.6825,                 1.0984,              0.0025302,              0.0025302,              0.0025302
                     70,                 1.4635,                 0.7199,                 1.0493,                0.93467,                0.91494,                0.94526,                0.51618,                 1.5421,                0.68578,                 1.0997,              0.0023977,              0.0023977,              0.0023977
                     71,                 1.4686,                0.71389,                 1.0466,                0.92755,                0.92179,                0.94623,                0.51743,                 1.5343,                0.68617,                 1.0981,              0.0022677,              0.0022677,              0.0022677
                     72,                   1.46,                0.71069,                 1.0483,                0.92629,                0.92491,                 0.9443,                0.52394,                 1.5257,                0.67858,                 1.0961,              0.0021405,              0.0021405,              0.0021405
                     73,                 1.4673,                0.71103,                 1.0462,                0.92908,                0.92026,                0.94795,                0.52301,                  1.527,                0.68012,                 1.0954,              0.0020161,              0.0020161,              0.0020161
                     74,                 1.4562,                0.70526,                 1.0453,                0.93538,                0.92108,                0.94892,                 0.5231,                 1.5289,                 0.6793,                 1.0959,              0.0018948,              0.0018948,              0.0018948
                     75,                 1.4366,                0.70211,                 1.0403,                0.93186,                0.92269,                0.94719,                0.52127,                 1.5284,                0.67607,                 1.0963,              0.0017765,              0.0017765,              0.0017765
                     76,                 1.4493,                0.70276,                 1.0458,                0.92813,                0.92873,                0.94856,                0.52471,                 1.5287,                0.67249,                 1.0967,              0.0016615,              0.0016615,              0.0016615
                     77,                 1.4438,                0.70017,                 1.0412,                0.93634,                0.92341,                0.94843,                0.52772,                 1.5147,                  0.668,                 1.0922,              0.0015498,              0.0015498,              0.0015498
                     78,                  1.442,                0.69291,                 1.0382,                0.93345,                0.92337,                0.94899,                0.52581,                 1.5228,                0.67124,                  1.094,              0.0014416,              0.0014416,              0.0014416
                     79,                 1.4357,                0.68643,                 1.0369,                0.93263,                0.92308,                0.94905,                 0.5272,                   1.52,                0.67373,                 1.0933,               0.001337,               0.001337,               0.001337
                     80,                 1.4369,                 0.6924,                 1.0422,                 0.9316,                0.92625,                0.94802,                 0.5265,                 1.5187,                0.66973,                 1.0926,               0.001236,               0.001236,               0.001236
                     81,                 1.4338,                0.68869,                 1.0428,                0.93308,                0.92523,                 0.9498,                0.52693,                 1.5186,                0.67277,                 1.0924,              0.0011387,              0.0011387,              0.0011387
                     82,                 1.4253,                0.68733,                 1.0346,                0.93473,                 0.9268,                 0.9498,                0.52783,                 1.5176,                0.66934,                 1.0927,              0.0010454,              0.0010454,              0.0010454
                     83,                  1.433,                0.68002,                 1.0393,                0.93204,                0.92781,                0.94994,                 0.5283,                  1.519,                0.66636,                 1.0925,             0.00095595,             0.00095595,             0.00095595
                     84,                 1.4269,                0.68731,                 1.0319,                 0.9327,                0.92831,                0.94987,                0.52872,                 1.5192,                0.66288,                 1.0917,             0.00087058,             0.00087058,             0.00087058
                     85,                 1.4233,                0.68477,                  1.036,                0.93647,                0.92069,                 0.9493,                0.52536,                 1.5204,                0.66481,                 1.0928,             0.00078933,             0.00078933,             0.00078933
                     86,                 1.4291,                0.68277,                  1.038,                0.93367,                 0.9255,                0.94975,                0.53004,                 1.5141,                 0.6652,                 1.0909,             0.00071228,             0.00071228,             0.00071228
                     87,                 1.4152,                0.66719,                 1.0309,                0.93486,                 0.9272,                0.95018,                0.52945,                 1.5128,                0.66359,                 1.0905,             0.00063952,             0.00063952,             0.00063952
                     88,                 1.4177,                0.66904,                 1.0324,                0.93598,                0.92705,                0.95008,                0.53175,                  1.509,                0.66618,                 1.0893,             0.00057111,             0.00057111,             0.00057111
                     89,                 1.4181,                0.67539,                 1.0288,                0.93779,                0.92692,                0.95032,                0.53049,                 1.5097,                0.66292,                 1.0892,             0.00050711,             0.00050711,             0.00050711
                     90,                 1.4123,                0.67208,                 1.0329,                0.93704,                0.93141,                0.95282,                0.53264,                 1.5118,                0.66429,                 1.0895,             0.00044761,             0.00044761,             0.00044761
                     91,                 1.4684,                0.69255,                 1.0855,                0.93685,                0.91652,                0.94454,                0.51878,                 1.5348,                0.67921,                 1.1008,             0.00039264,             0.00039264,             0.00039264
                     92,                 1.4454,                0.65844,                   1.08,                0.93451,                0.92122,                0.94621,                0.52345,                 1.5258,                0.66998,                 1.0972,             0.00034227,             0.00034227,             0.00034227
                     93,                 1.4278,                0.65705,                 1.0746,                 0.9364,                0.91955,                0.94768,                 0.5239,                 1.5243,                0.66932,                 1.0961,             0.00029655,             0.00029655,             0.00029655
                     94,                 1.4253,                0.64953,                 1.0723,                0.93552,                0.91967,                0.94678,                0.52298,                  1.525,                0.66714,                 1.0966,             0.00025551,             0.00025551,             0.00025551
                     95,                 1.4262,                0.65435,                 1.0739,                0.93341,                0.92312,                0.94805,                0.52521,                 1.5202,                 0.6667,                 1.0951,             0.00021921,             0.00021921,             0.00021921
                     96,                 1.4279,                0.65027,                 1.0798,                0.93424,                0.92451,                0.94862,                0.52384,                 1.5235,                0.66747,                 1.0959,             0.00018768,             0.00018768,             0.00018768
                     97,                 1.4193,                0.64785,                 1.0668,                0.93561,                0.92373,                0.94896,                0.52376,                   1.52,                 0.6659,                 1.0952,             0.00016094,             0.00016094,             0.00016094
                     98,                 1.4106,                0.64036,                  1.068,                0.93235,                 0.9263,                0.94785,                 0.5254,                 1.5205,                0.66543,                 1.0954,             0.00013903,             0.00013903,             0.00013903
                     99,                 1.4138,                0.64553,                 1.0696,                0.93692,                0.92194,                0.94799,                0.52594,                 1.5207,                0.66604,                 1.0954,             0.00012197,             0.00012197,             0.00012197
                    100,                 1.4205,                 0.6452,                 1.0722,                0.93443,                0.92535,                0.94767,                0.52463,                 1.5208,                0.66591,                 1.0959,             0.00010977,             0.00010977,             0.00010977
